Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,3,82,6,Some Random Commen with Id 0
1,0,3,135,1,Some Random Commen with Id 1
2,0,3,84,9,Some Random Commen with Id 2
3,0,3,79,1,Some Random Commen with Id 3
4,0,3,2,0,Some Random Commen with Id 4
5,0,3,163,7,Some Random Commen with Id 5
6,0,3,123,2,Some Random Commen with Id 6
7,0,3,151,6,Some Random Commen with Id 7
8,0,3,50,8,Some Random Commen with Id 8
9,1,3,64,6,Some Random Commen with Id 9
10,2,1,169,2,Some Random Commen with Id 10
11,2,1,129,0,Some Random Commen with Id 11
12,2,1,195,3,Some Random Commen with Id 12
13,2,1,153,0,Some Random Commen with Id 13
14,3,2,169,7,Some Random Commen with Id 14
15,3,2,189,5,Some Random Commen with Id 15
16,3,2,145,9,Some Random Commen with Id 16
17,4,8,113,6,Some Random Commen with Id 17
18,4,8,178,2,Some Random Commen with Id 18
19,4,8,14,7,Some Random Commen with Id 19
20,4,8,77,9,Some Random Commen with Id 20
21,5,5,121,2,Some Random Commen with Id 21
22,5,5,156,1,Some Random Commen with Id 22
23,5,5,144,7,Some Random Commen with Id 23
24,5,5,158,3,Some Random Commen with Id 24
25,5,5,178,0,Some Random Commen with Id 25
26,5,5,115,2,Some Random Commen with Id 26
27,5,5,178,9,Some Random Commen with Id 27
28,5,5,33,9,Some Random Commen with Id 28
29,6,0,170,2,Some Random Commen with Id 29
30,6,0,169,8,Some Random Commen with Id 30
31,6,0,166,3,Some Random Commen with Id 31
32,6,0,123,6,Some Random Commen with Id 32
33,6,0,164,0,Some Random Commen with Id 33
34,7,4,104,8,Some Random Commen with Id 34
35,7,4,125,3,Some Random Commen with Id 35
36,7,4,78,6,Some Random Commen with Id 36
37,7,4,118,0,Some Random Commen with Id 37
38,7,4,189,3,Some Random Commen with Id 38
39,7,4,29,1,Some Random Commen with Id 39
40,7,4,158,0,Some Random Commen with Id 40
41,7,4,78,0,Some Random Commen with Id 41
42,7,4,19,2,Some Random Commen with Id 42
43,8,0,149,5,Some Random Commen with Id 43
44,8,0,97,1,Some Random Commen with Id 44
45,8,0,166,5,Some Random Commen with Id 45
46,8,0,66,7,Some Random Commen with Id 46
47,8,0,70,1,Some Random Commen with Id 47
48,8,0,197,8,Some Random Commen with Id 48
